Date,Predicted Revenue
2024-08-28,196.25019141764875
2024-08-29,195.12876523188714
2024-08-30,194.0073390461256
2024-08-31,192.885912860364
2024-09-01,191.76448667460238
2024-09-02,190.64306048884077
2024-09-03,189.52163430307917
2024-09-04,188.40020811731756
2024-09-05,187.278781931556
2024-09-06,186.1573557457944
2024-09-07,185.0359295600328
2024-09-08,183.9145033742712
2024-09-09,182.79307718850959
2024-09-10,181.67165100274798
2024-09-11,180.55022481698643
2024-09-12,179.42879863122482
2024-09-13,178.30737244546322
2024-09-14,177.1859462597016
2024-09-15,176.06452007394
2024-09-16,174.94309388817845
2024-09-17,173.82166770241685
2024-09-18,172.70024151665524
2024-09-19,171.57881533089363
2024-09-20,170.45738914513203
2024-09-21,169.33596295937042
2024-09-22,168.21453677360887
2024-09-23,167.09311058784726
2024-09-24,165.97168440208566
2024-09-25,164.85025821632405
2024-09-26,163.72883203056244
2024-09-27,162.60740584480084
2024-09-28,161.4859796590393
2024-09-29,160.36455347327768
2024-09-30,159.24312728751607
2024-10-01,158.12170110175447
2024-10-02,157.00027491599286
2024-10-03,155.87884873023125
2024-10-04,154.7574225444697
2024-10-05,153.6359963587081
2024-10-06,152.5145701729465
2024-10-07,151.39314398718489
2024-10-08,150.27171780142328
2024-10-09,149.15029161566167
2024-10-10,148.02886542990012
2024-10-11,146.90743924413852
2024-10-12,145.7860130583769
2024-10-13,144.6645868726153
2024-10-14,143.5431606868537
2024-10-15,142.4217345010921
2024-10-16,141.30030831533054
2024-10-17,140.17888212956893
2024-10-18,139.05745594380733
2024-10-19,137.93602975804572
2024-10-20,136.8146035722841
2024-10-21,135.6931773865225
2024-10-22,134.57175120076096
2024-10-23,133.45032501499935
2024-10-24,132.32889882923774
2024-10-25,131.20747264347614
2024-10-26,130.08604645771453
